name,year,city
Audrie Hibbart,1994,Tokorozawa
Donalt Pittet,1987,Adil Makmur
Cy Reidie,1989,Lima Pampa
Fan Lambird,1999,Issy-les-Moulineaux
Adolphe Skin,1999,Monguno
Bruno Windows,1975,Paulpietersburg
Cinderella Bouller,1976,Oued Laou
Humbert Connechy,1966,Povedniki
Raphaela Bartaloni,1975,Malalag
Bernhard Hobben,2000,Ouanaminthe
Lorant Bril,1980,Al ‘Awjah
Renata Blundin,1962,Masku
Lavinie Fooks,1986,Jayune
Kristal Baraclough,1983,Herong
Jackson Blanden,1964,Qianxu Zhen
Gunar Westbury,2009,Mubo
Sydelle Nockalls,1979,Xindu
Ivonne Togwell,1967,Souto da Casa
Adelaide Braunes,1998,San Lorenzo
Krysta Mowen,1967,Pajapita
Kippie Wreight,1976,San Ricardo
Roarke Valder,1966,Bordeaux
Gipsy Leverette,2008,Malaruhatan
Valene Hellmer,1970,Chixi
Mel Musson,1968,Kwatarkwashi
Bogart Boddymead,2008,Seara
Crysta Byrd,2006,Orléans
Francisco Klaffs,1993,Sumpur Kudus
Lauritz Thompson,1998,Kalyny
Rochester Brereton,1965,Łęki
Leroi Simond,1989,Zaklików
Cahra Blazeby,1985,Bambali
Lowell Swainston,1988,Duzhou
Scarlett Tollerton,2004,Djibo
Andy Rosin,2006,Ribas
Yoko Martschke,1966,Serh
Sherilyn Shankle,2005,La Chapelle-sur-Erdre
Bordy Paulucci,1972,Bangxi
Worthy Petrie,1979,Novo Horizonte
Heath Itscovitz,1988,Lisewo
Maureen Christophers,1984,Gudang
Ty Warren,2003,Krajan Kedungsalam
Sherlock Alenichicov,2000,Ma‘dān
Freddie Beedon,1993,Chilly-Mazarin
Suzi Osment,1975,Bulung’ur
Steffane Paybody,1977,Horní Počaply
Karalynn Clears,2007,Gävle
Reuven MacMearty,1981,Batangtoru
Leela Stubbe,1997,Namibe
Elset McIlharga,1997,Tanjung Timur
Maryjo Aronowitz,1968,Phayakkhaphum Phisai
Cecile Noyes,2005,Hohhot
Laurent Corbally,2008,Yonghe
Ketti Jurkiewicz,1972,Bangunharja
Maurine Abarough,2010,Masis
Cindy Youle,1991,Dangcalan
Harwell Mussington,1997,Karakul’
Blaine Bason,2000,Mentaras
Tiffy Witherington,1972,Weizheng
Osbert Oldis,1995,Poggio di Chiesanuova
Roman Diviny,1967,Tange Zhen
Janice Tuttle,1975,Krajanbaturno
Nickey Gooddy,1975,Beberibe
Addie Batterbee,1961,Morez
Blythe Barnbrook,1970,Krasnapollye
Carrissa Gauchier,1989,Xarsingma
Reggie Laible,2006,Arpajon
Brynn Lantoph,2005,Tadjoura
Lainey Perott,1966,Daliu
Marcie Maltster,1978,Luklukan
Marlene Humby,2003,Kangping
Kerianne Stops,1996,Kota Kinabalu
Claudius Wivell,1983,São João del Rei
Zitella Grendon,1973,Smålandsstenar
Walton Measen,1960,Iwye
Poppy Tottman,2003,Bibis
Jordana Dowe,1997,Tiyingtali Kelod
Benedick Baudinelli,1993,Arapongas
Horatio Benes,1970,Komga
Jerrilyn Ronaldson,2004,Sūq Şirwāḩ
Annalise Heam,1965,Daingean
Ingunna Carsey,1995,Temyasovo
Stesha Sach,1998,Labège
Kaspar Weiss,1992,Montijo
Shannen Colebrook,1988,Duqiao
Carlie Giercke,1998,Górki Wielkie
Lydon Matyas,1984,Manjo
Abbie Dinse,1973,Huifeng
Rodger Divill,2006,Kafr az Zayyāt
Hobart Rathe,1992,Changkeng
Doll Clear,1980,Chojna
Armand Frichley,1972,Louisville
Rooney Ervin,1993,Mapou
Allie Cheer,2007,Arrepiado
Cad Trower,1980,Ichuña
Hyacinthe Mazzeo,1978,Komes
Charisse Oglethorpe,1978,Shanglaxiu
Brucie Grigorio,2004,Xiangzhou
Lesya Bergin,1977,Ushirombo
Minetta Colbeck,1988,Tršić
